Fuel Type Code,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,WA,,2,1,48.10274,-123.34307
ELEC,WA,,1,1,47.20763,-122.29502
ELEC,WA,,1,1,47.44822,-122.21915
ELEC,WA,,1,,47.739021,-117.409937
ELEC,WA,,2,1,47.65722,-117.31236
ELEC,WA,,1,1,47.21972,-122.48567
ELEC,WA,,1,1,45.64821,-122.59841
ELEC,WA,,1,,46.047464,-118.353406
ELEC,TN,,1,1,35.030251,-85.308376
ELEC,TN,,1,1,36.513006,-87.268667
ELEC,TN,,1,,36.137109,-85.496453
ELEC,TN,,1,,36.023934,-87.340223
ELEC,TN,,1,,36.063277,-89.379485
ELEC,TN,,1,1,35.957857,-86.80853
ELEC,TN,,1,1,36.36102,-86.49452
ELEC,TN,,1,,36.374198,-82.372119
ELEC,TN,,3,,36.551978,-82.487762
ELEC,TN,,1,,35.920587,-84.067881
ELEC,TN,,1,,35.999617,-83.969451
ELEC,TN,,1,1,36.29057,-86.70486
ELEC,TN,,1,,35.454702,-86.041805
ELEC,TN,,1,,36.369277,-88.849653
ELEC,TN,,1,,35.0353,-89.795859
ELEC,TN,,1,1,35.181031,-89.895533
ELEC,TN,,1,,36.18226,-83.382387
ELEC,TN,,1,2,35.8541,-86.39484
ELEC,TN,,2,1,36.11033,-86.74373
ELEC,TN,,2,1,36.19092,-86.79334
ELEC,OR,,1,,45.491783,-122.81107
ELEC,OR,,2,1,44.05538,-121.27764
ELEC,OR,,1,,44.572608,-123.258425
ELEC,OR,,1,,44.05902085,-123.0813975
ELEC,OR,,1,,45.3787,-122.60416
ELEC,OR,,1,,45.227394,-123.180863
ELEC,OR,,1,,42.379969,-122.858192
ELEC,OR,,1,,45.531759,-122.537403
ELEC,OR,,2,1,45.613979,-121.20996
ELEC,OR,,2,,45.326814,-122.770853
ELEC,SC,,2,1,34.05518,-81.12812
ELEC,SC,,1,1,33.99785,-81.22228
ELEC,TN,,2,,35.830725,-83.974822
ELEC,TN,,2,1,35.20581,-89.79106
ELEC,TN,,1,,36.54287,-82.23651
ELEC,TN,,1,,35.056433,-85.190515
ELEC,AL,,1,1,33.39493,-86.80726
ELEC,AL,,1,,30.660697,-87.858464
ELEC,AL,,1,1,34.56385,-86.97219
ELEC,AL,,1,1,32.376832,-86.208559
ELEC,AZ,,1,,33.459826,-112.284168
ELEC,AZ,,2,1,33.286316,-111.791107
ELEC,AZ,,1,,34.54217,-114.35287
ELEC,AZ,,1,,33.385361,-111.695062
ELEC,AZ,,2,1,33.43449638,-111.8716211
ELEC,AZ,,1,,33.636921,-112.253682
ELEC,AZ,,1,1,33.50948,-112.05471
ELEC,AZ,,1,,33.605183,-112.420442
ELEC,AZ,,2,2,33.6398,-112.10787
ELEC,AZ,,3,1,33.6345,-111.91583
ELEC,AZ,,1,1,33.34607,-111.96735
ELEC,AZ,,2,1,32.29001,-110.98518
ELEC,AZ,,1,,32.207374,-110.881798
ELEC,CA,,1,1,38.007799,-121.832042
ELEC,CA,,3,1,35.310723,-119.035324
ELEC,CA,,3,1,33.865497,-117.995215
ELEC,CA,,2,1,33.82498,-118.24566
ELEC,CA,,1,1,33.78414,-116.471
ELEC,CA,,1,1,33.861544,-118.100471
ELEC,CA,,3,1,39.75674,-121.84372
ELEC,CA,,2,1,33.997621,-117.928216
ELEC,CA,,1,,36.83692,-119.71718
ELEC,CA,,1,,37.980192,-122.050128
ELEC,CA,,2,1,33.88319,-117.61565
ELEC,CA,,2,1,33.675397,-117.918684
ELEC,CA,,1,1,38.55252,-121.69156
ELEC,CA,,4,2,33.9473,-118.151166
ELEC,CA,,1,,34.136553,-117.975944
ELEC,CA,,1,,32.795896,-116.976156
ELEC,CA,,2,1,34.06964,-118.02703
ELEC,CA,,4,2,38.40209,-121.38584
ELEC,CA,,1,,33.116492,-117.106837
ELEC,CA,,1,,40.8007,-124.16421
ELEC,CA,,3,1,38.63424,-121.20423
ELEC,CA,,2,1,34.13534,-117.44573
ELEC,CA,,2,1,37.49864,-121.9734
ELEC,CA,,1,,36.818622,-119.789796
ELEC,CA,,2,1,33.766376,-117.968337
ELEC,CA,,1,,33.889201,-118.307028
ELEC,CA,,1,,36.996869,-121.558573
ELEC,CA,,1,1,34.13714,-118.25515
ELEC,CA,,3,1,34.43427,-119.820934
ELEC,CA,,2,1,37.662305,-122.075178
ELEC,CA,,1,,33.741163,-117.031718
ELEC,CA,,2,1,33.71069,-117.989861
ELEC,CA,,2,1,33.63255,-117.72335
ELEC,CA,,2,1,33.70693,-116.28364
ELEC,CA,,1,1,34.035168,-118.273229
ELEC,CA,,2,1,34.133446,-118.356601
ELEC,CA,,1,,37.30584,-120.50229
ELEC,CA,,1,,34.269809,-118.466606
ELEC,CA,,1,,37.705119,-120.99471
ELEC,CA,,1,1,34.082404,-117.694876
ELEC,CA,,3,1,34.06531,-117.21201
ELEC,CA,,1,,38.2927,-122.27752
ELEC,CA,,1,,32.659001,-117.100836
ELEC,CA,,2,3,33.181953,-117.298334
ELEC,CA,,2,1,33.80819,-117.86507
ELEC,CA,,1,1,34.22784,-119.15031
ELEC,CA,,2,2,34.5914,-118.1383
ELEC,CA,,4,1,38.267202,-122.665068
ELEC,CA,,1,1,32.95678,-117.02581
ELEC,CA,,1,,40.571632,-122.36654
ELEC,CA,,1,1,37.98521,-122.32138
ELEC,CA,,1,,33.941878,-117.297603
ELEC,CA,,2,1,33.925469,-117.419673
ELEC,CA,,1,1,38.752198,-121.256452
ELEC,CA,,1,1,38.63114,-121.39648
ELEC,CA,,2,1,36.720023,-121.662519
ELEC,CA,,1,1,34.07141,-117.29807
ELEC,CA,,1,1,32.833179,-117.147384
ELEC,CA,,1,2,37.275144,-121.877656
ELEC,CA,,2,1,33.47462,-117.67629
ELEC,CA,,2,1,37.71267,-122.16245
ELEC,CA,,4,1,35.25062,-120.68455
ELEC,CA,,1,2,37.32349,-121.98788
ELEC,CA,,4,1,38.42558,-122.71418
ELEC,CA,,2,1,36.611189,-121.849899
ELEC,CA,,1,1,34.16924,-118.44896
ELEC,CA,,1,1,34.27735,-118.7796
ELEC,CA,,2,1,38.02221,-121.27534
ELEC,CA,,2,1,33.516768,-117.155039
ELEC,CA,,1,,37.75990555,-121.4632052
ELEC,CA,,1,1,33.72487,-117.79896
ELEC,CA,,1,,38.381441,-121.941218
ELEC,CA,,1,,38.118088,-122.255493
ELEC,CA,,1,,34.517883,-117.3219
ELEC,CA,,1,1,36.32325,-119.27596
ELEC,CA,,1,1,34.074227,-117.890899
ELEC,FL,,1,,27.462023,-82.578036
ELEC,FL,,1,,28.848733,-82.57947
ELEC,FL,,1,1,28.98366,-81.30046
ELEC,FL,,1,1,26.4351,-80.07297
ELEC,FL,,1,1,26.109825,-80.137099
ELEC,FL,,1,,30.28829,-81.73143
ELEC,FL,,1,1,30.212415,-81.736209
ELEC,FL,,1,,30.18082,-82.702224
ELEC,FL,,1,1,25.78297,-80.36645
ELEC,FL,,1,1,25.92605,-80.29188
ELEC,FL,,1,1,25.76506,-80.25052
ELEC,FL,,1,,25.609391,-80.348241
ELEC,FL,,1,1,26.00761,-80.2628
ELEC,FL,,1,1,27.48602,-81.48261
ELEC,FL,,1,,27.152729,-80.217708
ELEC,FL,,1,1,27.995139,-82.506186
ELEC,FL,,1,,28.04892,-82.45832
ELEC,FL,,1,,27.585356,-80.376442
ELEC,FL,,1,1,27.98288,-81.67614
ELEC,GA,,1,2,33.907866,-84.283186
ELEC,GA,,1,1,33.96794,-84.14603
ELEC,GA,,1,1,33.83581,-84.07828
ELEC,GA,,1,1,33.78405,-84.61276
ELEC,GA,,1,1,33.92909,-84.50889
ELEC,GA,,1,,33.566938,-84.344405
ELEC,GA,,2,1,34.02183,-84.32811
ELEC,GA,,1,1,33.56458,-84.52177
ELEC,GA,,1,,32.555572,-83.66552
ELEC,HI,,2,,21.335175,-157.88225
ELEC,HI,,1,,20.88861,-156.45817
ELEC,HI,,1,1,21.3993,-157.79918
